"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000010453"	3088.74229278921	0.764642401524252	0.0963566393181615	1.53279522989856e-06	8.43188390752574e-06
"ENSMUSG00000037432"	218.164400239481	0.695724917596531	0.138378631510591	0.0026389466940705	0.00931093767225444
"ENSMUSG00000001143"	1191.03159963516	0.583226085046221	0.103265842101786	0.00468210527385824	0.0156894432387622
"ENSMUSG00000037408"	667.80668308044	1.711622077913	0.116700986051122	1.46955931259651e-33	4.74980284913612e-32
"ENSMUSG00000026121"	616.988989233988	-1.24956975686948	0.119918552365707	2.10700896136187e-15	2.43445101619535e-14
"ENSMUSG00000061518"	6644.70529115325	1.4590508020772	0.122627898327721	3.41954574146422e-21	5.57868039370795e-20
"ENSMUSG00000037351"	3443.36784445316	0.556079214518462	0.0791857994586949	0.000957739417834967	0.0036595640988753
"ENSMUSG00000026117"	35.3339071239004	-2.28437566058434	0.460457064689423	2.06682764763345e-06	1.12230801561501e-05
"ENSMUSG00000026088"	298.057967537041	-0.677261488169653	0.16136660944198	0.0106010137693895	0.0328883235901578
"ENSMUSG00000026087"	1202.21494417593	0.574363745916022	0.10368185940892	0.00617770092389017	0.0202246808024279
"ENSMUSG00000048814"	15.2694437828023	-2.89784878280581	0.860640470763905	0.000215988679929551	0.000911371845370602
"ENSMUSG00000026080"	27.2760229853158	-2.51416098369036	0.471589334760756	3.74669363972899e-07	2.19571387430352e-06
"ENSMUSG00000026077"	247.321418572224	-0.866926646384607	0.271676532187989	0.014174806855183	0.0426140983044363
"ENSMUSG00000003134"	396.200458372949	-0.999276159024504	0.162186208015148	8.4705583611747e-06	4.28497056485789e-05
"ENSMUSG00000026074"	2545.05727242553	-1.56911937784498	0.112342637666657	1.69421265089827e-29	4.28522597340453e-28
"ENSMUSG00000026073"	19.5469755752971	-2.50984169039981	0.604292734615129	2.96853483607006e-05	0.0001406731530422
"ENSMUSG00000026072"	547.931229528371	-1.59870385030378	0.174186249289552	3.4617210271017e-14	3.65965703308167e-13
"ENSMUSG00000070942"	280.080701784097	-3.21389733342793	0.230082143975974	2.34709365432436e-37	9.46209199922025e-36
"ENSMUSG00000026069"	71.8808966287568	-3.11520638147529	0.431873237660782	5.94619398071959e-12	5.33556835537932e-11
"ENSMUSG00000026070"	170.070182853946	-2.61377932596981	0.311255934173656	1.43435724190241e-14	1.55887759808508e-13
"ENSMUSG00000026068"	89.9041220490765	-3.7006788610705	0.332200038009261	3.32420055839526e-25	6.78635240138937e-24
"ENSMUSG00000026065"	121.096846719478	-1.44765369923979	0.297780537319276	2.75728868504508e-05	0.000131331383006605
"ENSMUSG00000026062"	1056.89716780967	1.48254797130261	0.139610191157026	1.68025035533536e-17	2.21135600683912e-16
"ENSMUSG00000103679"	6.22707936457383	2.62497321790768	0.92856811508649	0.00100379207836078	0.00382180229766614
"ENSMUSG00000103106"	3.32115544614281	2.95379314941718	1.54987436126679	0.00562489704114032	0.0185645707871772
"ENSMUSG00000060424"	221.925638064724	1.57598175502232	0.16161626488323	1.46966842454845e-15	1.71581675869656e-14
"ENSMUSG00000093436"	25.3463084747915	1.928597727402	0.449918385365374	4.44792031473679e-05	0.000205885704268045
"ENSMUSG00000045515"	4285.97912572997	1.18313865978371	0.158655727146109	1.50080059042584e-08	1.01974080884e-07
"ENSMUSG00000060679"	1163.5763059919	0.595401531367174	0.121507277598025	0.0100435968852342	0.0313243531398996
"ENSMUSG00000041907"	5.03842965020192	-5.05226012364263	2.52176353119623	0.000294322817610953	0.00121932958792859
