"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSMUSG00000025921"	1951.82709527633	1.13952801952966	0.131351770980876	1.17402113888175e-10	9.47617929735631e-10
"ENSMUSG00000025940"	994.598436112616	-1.12194997147276	0.100958048508077	5.51869147066572e-16	6.62302285361893e-15
"ENSMUSG00000025777"	2.49503409352683	3.03534083349508	2.67216539241937	0.00861981814081596	0.027233699017822
"ENSMUSG00000067780"	145.194976978451	2.35248389525547	0.24528123296829	1.07579791468984e-17	1.43787376580987e-16
"ENSMUSG00000041872"	20.8663299232747	-2.96226171937161	0.48010125285992	2.98970465271235e-09	2.16370912876467e-08
"ENSMUSG00000041859"	439.272665667129	2.43704019150502	0.201107869812069	5.03156710222032e-27	1.12038902952132e-25
"ENSMUSG00000025931"	105.980557521729	1.74564329185987	0.260951167962358	7.09389231017832e-09	4.95418983288063e-08
"ENSMUSG00000041809"	53.8510640425276	2.00492448000154	0.413857681425976	5.44118255970357e-06	2.81369231971335e-05
"ENSMUSG00000041779"	641.015643257057	0.836588639813786	0.147108125665801	0.000159107515454287	0.000682055134386956
"ENSMUSG00000025934"	1147.40361573884	-2.12428166683995	0.244575340873808	1.93045228977962e-14	2.07881974155922e-13
"ENSMUSG00000025936"	24.4269903839995	-2.01295050567362	0.610177247405666	0.000580297542287362	0.00229630852399822
"ENSMUSG00000026156"	1807.99777822466	-1.29897673384112	0.201352615874519	2.68418774899483e-07	1.60290505845055e-06
"ENSMUSG00000026154"	237.161315841519	-0.692588174001929	0.173807092347476	0.0125755562692094	0.0382750713704719
"ENSMUSG00000101939"	113.914403870245	-1.74557349856803	0.36094597401041	1.13750442863261e-05	5.66570559970576e-05
"ENSMUSG00000101111"	4.79779421688726	-2.44709218598707	0.992569692091098	0.0027704123469266	0.00973173786666541
"ENSMUSG00000101249"	75.1863151360205	-2.05109788343029	0.310790930084657	3.0660342195927e-09	2.21679534672656e-08
"ENSMUSG00000073725"	1718.42105642902	-0.578776313518095	0.110439125851833	0.00819623631631045	0.0260279741061393
"ENSMUSG00000033569"	19.9139345821027	-2.57996896639962	0.522110134360324	1.27199480901014e-06	7.04931316735298e-06
"ENSMUSG00000101514"	51.3512353926506	-3.49626503294702	0.355868120481477	2.88163099502288e-20	4.46622808069681e-19
"ENSMUSG00000026064"	525.072136898164	1.27300618694575	0.165503314979382	1.96381096187823e-09	1.439440565231e-08
"ENSMUSG00000100481"	8.04870170266678	2.7269000399202	1.10394060286145	0.00282112075114205	0.00989585532527197
"ENSMUSG00000042215"	539.779781209041	1.52947967434435	0.161906638453826	1.47060427321282e-14	1.59594148872377e-13
"ENSMUSG00000042182"	16.7784959219042	2.7496266800364	0.642994451036856	1.78726701913186e-05	8.72498832902534e-05
"ENSMUSG00000026131"	10131.1365074705	-1.30402419266681	0.118094710600642	1.81088514174348e-17	2.37628136049934e-16
"ENSMUSG00000101462"	13.3415114991154	1.77887108608781	0.692303306311889	0.00446077850616729	0.0150063303444405
"ENSMUSG00000102336"	34.1005949254711	1.6804649021486	0.467404986425269	0.000500235307313432	0.00199924521339037
"ENSMUSG00000037509"	110.542670362817	1.21809960611222	0.223411340994239	1.39645445982518e-05	6.88790059755646e-05
"ENSMUSG00000026123"	4790.11029335356	-1.15848455680107	0.125349975118962	5.98662389354276e-12	5.36753344192629e-11
"ENSMUSG00000047180"	770.269982878645	2.66664581798347	0.172420844382221	3.25611419122631e-43	1.67949317198264e-41
"ENSMUSG00000037447"	284.608438354541	2.49291002190618	0.173565882647854	5.848690156482e-37	2.30378564294302e-35
"ENSMUSG00000010453"	3088.74229278921	-0.76403615068903	0.096347267921711	1.53280358079073e-06	8.43192984566012e-06
"ENSMUSG00000037432"	218.164400239481	-0.69542767194627	0.138376434717083	0.00263895555575567	0.00931096893874362
